"ITEX_name","GBIF_name","SCIENTIFIC_NAME","AUTHOR","STATUS","FAMILY","ACCEPTED_SPECIES","ACCEPTED_AUTHOR","n_sci","one_is_acc","all_unresolved","just_one_syn","one_is_un","non_vasc_typo","SPECIES_NAME","n_occ","N_all","N_bor_tund","N_tund"
"Potentilla villosa","Potentilla villosa","Potentilla villosa","Dulac","Synonym","Rosaceae","Potentilla sterilis","(L.) Garcke",6,TRUE,FALSE,FALSE,TRUE,FALSE,"Potentilla villosa",1033,467,280,138
"Potentilla villosa","Potentilla villosa","Potentilla villosa","Crantz ex Zimmeter","Synonym","Rosaceae","Potentilla crantzii","(Crantz) Beck ex Fritsch",6,TRUE,FALSE,FALSE,TRUE,FALSE,"Potentilla villosa",1033,467,280,138
"Potentilla villosa","Potentilla villosa","Potentilla villosa","Crantz ex Vill.","Synonym","Rosaceae","Potentilla crantzii","(Crantz) Beck ex Fritsch",6,TRUE,FALSE,FALSE,TRUE,FALSE,"Potentilla villosa",1033,467,280,138
"Preissia quadrata","Preissia quadrata","Preissia quadrata","(Scop.) Nees","Accepted","Marchantiaceae","Preissia quadrata","(Scop.) Nees",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Preissia quadrata",4177,2253,603,325
"Primula algida","Primula algida","Primula algida","Adams","Accepted","Primulaceae","Primula algida","Adams",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Primula algida",968,609,446,323
"Primula angustifolia","Primula angustifolia","Primula angustifolia","Torr.","Accepted","Primulaceae","Primula angustifolia","Torr.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Primula angustifolia",714,348,336,231
"Primula cuneifolia","Primula cuneifolia","Primula cuneifolia","Ledeb.","Accepted","Primulaceae","Primula cuneifolia","Ledeb.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Primula cuneifolia",1373,712,603,363
"Primula glutinosa","Primula glutinosa","Primula glutinosa","Wulfen","Accepted","Primulaceae","Primula glutinosa","Wulfen",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Primula glutinosa",2884,771,730,706
"Primula integrifolia","Primula integrifolia","Primula integrifolia","L.","Accepted","Primulaceae","Primula integrifolia","L.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Primula integrifolia",8848,1759,1343,563
"Primula parryi","Primula parryi","Primula parryi","A. Gray","Accepted","Primulaceae","Primula parryi","A. Gray",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Primula parryi",2037,1163,1085,554
"Primula ruprechtii","Primula ruprechtii","Primula ruprechtii","Kusn. ex Lipsky","Unresolved","Primulaceae","Primula ruprechtii","Kusn. ex Lipsky",2,FALSE,TRUE,FALSE,TRUE,FALSE,"Primula ruprechtii",138,101,60,40
"Primula ruprechtii","Primula ruprechtii","Primula ruprechtii","Kusn.","Unresolved","Primulaceae","Primula ruprechtii","Kusn.",2,FALSE,TRUE,FALSE,TRUE,FALSE,"Primula ruprechtii",138,101,60,40
