"usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","phylum","order","family","genus","species","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","synonym","class","acceptedUsageKey","verbatim_name","verbatim_index","verbatim_genus","accepted_name"
7270355,"Chionogentias muelleriana L.G.Adams","Chionogentias muelleriana","SPECIES","SYNONYM",99,"EXACT","Plantae","Tracheophyta","Gentianales","Gentianaceae","Gentianella","Gentianella muelleriana",6,7707728,220,412,2503,3169845,7270081,TRUE,"Magnoliopsida",7270082,"Chionogentias muelleriana",977,"Chionogentias","Gentianella muelleriana"
5419987,"Kunzea ericifolia (Sm.) Heynh.","Kunzea ericifolia","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Myrtales","Myrtaceae","Kunzea","Kunzea ericifolia",6,7707728,220,690,5014,3186579,5419987,FALSE,"Magnoliopsida",NA,"Kunzea ericifolia",978,"Kunzea","Kunzea ericifolia"
2976442,"Oxylobium ellipticum (Vent.) R.Br.","Oxylobium ellipticum","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Fabales","Fabaceae","Oxylobium","Oxylobium ellipticum",6,7707728,220,1370,5386,2976438,2976442,FALSE,"Magnoliopsida",NA,"Oxylobium ellipticum",979,"Oxylobium","Oxylobium ellipticum"
7262165,"Goodenia hederacea Sm.","Goodenia hederacea","SPECIES","ACCEPTED",95,"FUZZY","Plantae","Tracheophyta","Asterales","Goodeniaceae","Goodenia","Goodenia hederacea",6,7707728,220,414,3113,7262160,7262165,FALSE,"Magnoliopsida",NA,"Goodenia hederaceae",982,"Goodenia","Goodenia hederacea"
3085440,"Cerastium glomeratum Thuill.","Cerastium glomeratum","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Caryophyllales","Caryophyllaceae","Cerastium","Cerastium glomeratum",6,7707728,220,422,2518,2873815,3085440,FALSE,"Magnoliopsida",NA,"Cerastium glomeratum",983,"Cerastium","Cerastium glomeratum"
5691936,"Olearia flavescens Hutch.","Olearia flavescens","SPECIES","SYNONYM",93,"FUZZY","Plantae","Tracheophyta","Asterales","Asteraceae","Olearia","Olearia phlogopappa",6,7707728,220,414,3065,3148688,5405402,TRUE,"Magnoliopsida",9347187,"Olearia flavescence",984,"Olearia","Olearia phlogopappa"
5405402,"Olearia phlogopappa (Labill.) DC.","Olearia phlogopappa","SPECIES","ACCEPTED",99,"HIGHERRANK","Plantae","Tracheophyta","Asterales","Asteraceae","Olearia","Olearia phlogopappa",6,7707728,220,414,3065,3148688,5405402,FALSE,"Magnoliopsida",NA,"Olearia phlogopappa var. sub",985,"Olearia","Olearia phlogopappa"
5638444,"Orites lancifolius F.Muell.","Orites lancifolius","SPECIES","ACCEPTED",97,"FUZZY","Plantae","Tracheophyta","Proteales","Proteaceae","Orites","Orites lancifolius",6,7707728,220,400,2414,3232532,5638444,FALSE,"Magnoliopsida",NA,"Orites lancifolia",987,"Orites","Orites lancifolius"
3108480,"Senecio gunnii (Hook.fil.) Belcher","Senecio gunnii","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Senecio","Senecio gunnii",6,7707728,220,414,3065,3106738,3108480,FALSE,"Magnoliopsida",NA,"Senecio gunnii",988,"Senecio","Senecio gunnii"
2968306,"Bossiaea foliosa A.Cunn.","Bossiaea foliosa","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Fabales","Fabaceae","Bossiaea","Bossiaea foliosa",6,7707728,220,1370,5386,2968290,2968306,FALSE,"Magnoliopsida",NA,"Bossiaea foliosa",989,"Bossiaea","Bossiaea foliosa"
