"SCIENTIFIC_NAME","AUTHOR","STATUS","FAMILY","ACCEPTED_SPECIES","ACCEPTED_AUTHOR","n_sci","one_is_acc","all_unresolved","just_one_syn","one_is_un","non_vasc_typo","SPECIES_NAME"
"Carex limosa","L.","Accepted","Cyperaceae","Carex limosa","L.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex limosa"
"Carex lyngbyei","Hornem.","Accepted","Cyperaceae","Carex lyngbyei","Hornem.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex lyngbyei"
"Carex magellanica","Lam.","Accepted","Cyperaceae","Carex magellanica","Lam.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex magellanica"
"Carex magellanica","Banks ex Boott","Synonym","Cyperaceae","Carex banksii","Boott",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex magellanica"
"Carex maritima","Gunnerus","Accepted","Cyperaceae","Carex maritima","Gunnerus",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex maritima"
"Carex maritima","O.F.Müll.","Synonym","Cyperaceae","Carex paleacea","Schreb. ex Wahlenb.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex maritima"
"Carex membranacea","Hook.","Accepted","Cyperaceae","Carex membranacea","Hook.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex membranacea"
"Carex membranacea","Hoppe","Synonym","Cyperaceae","Carex ericetorum","Pollich",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex membranacea"
"Carex microchaeta","Holm","Accepted","Cyperaceae","Carex microchaeta","Holm",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex microchaeta"
"Carex microglochin","Wahlenb.","Accepted","Cyperaceae","Carex microglochin","Wahlenb.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex microglochin"
"Carex misandra","R.Br.","Synonym","Cyperaceae","Carex fuliginosa","Schkuhr",1,FALSE,FALSE,TRUE,FALSE,FALSE,"Carex fuliginosa"
"Carex nardina","(Hornem.) Fr.","Accepted","Cyperaceae","Carex nardina","(Hornem.) Fr.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex nardina"
"Carex nigra","(L.) Reichard","Accepted","Cyperaceae","Carex nigra","(L.) Reichard",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex nigra"
"Carex nigra","Schkuhr","Synonym","Cyperaceae","Carex atrata subsp. aterrima","(Hoppe) Hartm.",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex nigra"
"Carex nigra","All.","Synonym","Cyperaceae","Carex parviflora","Host",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex nigra"
"Carex norvegica","Retz.","Accepted","Cyperaceae","Carex norvegica","Retz.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex norvegica"
"Carex norvegica","Willd. ex Schkuhr","Synonym","Cyperaceae","Carex mackenziei","V.I.Krecz.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex norvegica"
"Carex obtusata","Lilj.","Accepted","Cyperaceae","Carex obtusata","Lilj.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex obtusata"
"Carex panicea","L.","Accepted","Cyperaceae","Carex panicea","L.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex panicea"
"Carex panicea","J.Carey","Synonym","Cyperaceae","Carex meadii","Dewey",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex panicea"
"Carex parallela","(Laest.) Sommerf.","Accepted","Cyperaceae","Carex parallela","(Laest.) Sommerf.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex parallela"
"Carex parviflora","Host","Accepted","Cyperaceae","Carex parviflora","Host",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex parviflora"
